Mechanic Id,Name,Phone number,Address,Email address,Compensation,Start Date (Only in app flow),Service Center
132457689,James Williams,4576312882,"1400 Gorman St, Raleigh, NC 27606-2972 ",jwilliams@gmail.com,$35,7/2/2021,30001
314275869,David Johnson,9892321100,"686 Stratford Court, Raleigh, NC 27606",djohnson@ymail.com,$35,8/25/2021,30001
241368579,Maria Garcia,4573459090,"1521 Graduate Lane, Raleigh, NC 27606",mgarcia@yahoo.com,$35,8/26/2021,30001
423186759,Ellie Clark,9892180921,"3125 Avent Ferry Road, Raleigh, NC 27605",eclark@gmail.com,$25,9/1/2021,30002
123789456,Robert Martinez,7652304282,"1232 Tartan Circle, Raleigh, NC 27607",rmartinez@ymail.com,$25,10/11/2021,30002
789123456,Charles Rodriguez,9092234281,"218 Patton Lane, Raleigh, NC 27603",crodriguez@yahoo.com,$25,10/11/2021,30002
125689347,Jose Hernandez,7653241714,"4747 Dola Mine Road, Raleigh, NC 27609",jhernandez@gmail.com,$25,10/17/2021,30002
347812569,Charlie Brown,9091237568,"1 Rockford Mountain Lane, Morrisville, NC 27560",cbrown@ymail.com,$22,10/18/2021,30003
123456780,Jeff Gibson,3390108899,"900 Development Drive, Morrisville, NC 27560",jgibson@yahoo.com,$22,10/20/2021,30003
123456708,Isabelle Wilder,3394561231,"6601 Koppers Road, Morrisville, NC 27560",iwilder@gmail.com,$22,10/22/2021,30003
123456078,Peter Titus,3396723418,"2860 Slater Road, Morrisville, NC 27560",ptitus@ymail.com,$22,10/28/2021,30003
123450678,Mark Mendez,3395792080,"140 Southport Drive, Morrisville, NC 27560",mmendez@yahoo.com,$22,10/31/2021,30003
123405678,Lisa Alberti,3391126787,"100 Valley Glen Drive, Morrisville, NC 27560",lalberti@yahoo.com,$22,11/01/2021,30003
